product_id,brand_id,product_name,description,ingredients,highlights
2681,10,Colour Riche Original Satin Lipstick,"FeaturesL'Oreal Paris Presents The Houses of Colour Riche, Four vibrant color families- Reds, Berries, Pinks, NudesColor does not smudge, smear, migrate, or feather, Colour Riche Satin smoothes the lips in just one coatChoose from bold reds, vibrant mauves, bright pinks, and your-lips-but-better nudes, Choose your House, Choose your colorColour Riche Satin, available in multiple shades, Pair with Colour Riche Lip Liner for a complete lip lookBenefitsInfused with 75% caring ingredients like vitamin E & Argan oil, Colour Riche Satin leaves lips feeling soft and moisturized","Lanolin Liquida/Lanolin Oil, Oleyl Erucate, Sesamum Indicum Oil/Sesame Seed Oil, Cera Microcristallina/Microcrystalline Wax/Cire Icrocristalline, Ppg-5 Lanolin Wax, Acetylated Lanolin, Cera Alba/Beeswax/Cire Dabeille, Disteardimonium Hectorite, Parfum/Fragrance, Tocopheryl Acetate, Rosa Canina Fruit Oil, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Synthetic Fluorphlogopite, Argania Spinosa Oil/Argania Spinosa Kernel Oil, Calcium Aluminum Borosilicate, Geraniol, Benzyl Alcohol, Silica, Hexyl Cinnamal, Hydroxycitronellal, Calcium Sodium Borosilicate, Methyl-2-Octynoate, Tin Oxide, Polyethylene Terephthalate, Acrylates Copolymer. May Contain: Mica, CI 77891/Titanium Dioxide, CI 77499, CI 77492, CI 77491/Iron Oxides, CI 15850/Red 7, CI 45410/Red 28 Lake, CI 15985/Yellow 6 Lake, CI 77163/Bismuth Oxychloride, CI 19140/Yellow 5 Lake, CI 45380/Red 22 Lake, CI 75470/Carmine, CI 42090/Blue 1 Lake. FIL D33009/13.",
fs797198,1,ColorStay Overtime Lipcolor,"BenefitsLongwear liquid lipstick that lasts for up to 16 hoursPigment stays vibrant without smudging, bleeding, or feathering all dayDual-ended with liquid lipcolor on one end and shiny gloss on the otherKey IngredientsMoisturizing formula infused with Vitamin E and chamomile extract that feels good on your lips","Lipcolor: Isododecane, Dimethicone, Trimethylsiloxysilicate, Polyethylene, Disteardimonium Hectorite, C12-15 Alkyl Benzoate, Methicone, Serica (Silk Powder), Silica, Propylene Carbonate, BHT, Sorbic Acid, Caprylyl Glycol, 1,2-Hexanediol. May Contain: Mica, Bismuth Oxychloride (CI 77163), Titanium Dioxide (CI 77891), Red 7 Lake (CI 15850), Red 6 Lake (CI 15850), Red 27 Lake (CI 45410), Red 33 Lake (CI 17200), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090), Iron Oxides (CI 77491, 77492, 77499), Carmine (CI 75470).Topcoat: Hydrogenated Polydecene, Silica Silylate, Benzoic Acid, Squalane, Phytantriol, Chamomilla Recutita (Matricaria) Extract, Foeniculum Vulgare (Fennel) Seed Extract, Lycopene, Glycine Soja (Soy) Isoflavones.",
pimprod2000550,6,Powder Kiss Moisturizing Matte Lipstick,"BenefitsImmediate and all-day hydrationComfortable formulaBlurs lines and smooths lipsLightweight buildable lipstickWeightless, soft matte lipstickFeaturesDelivering a blur of soft-focus colour, this weightless moisture-matte lipstick was developed to replicate a backstage technique: blending out edges of matte lipstick for a hazy effectResearch Results97% said it was comfortable throughout wear*97% said it left lips feeling soft and smooth*94% said it left lips feeling moisturized*97% said it felt weightless on lips**Consumer testing on 104 women after one week","Dimethicone, Tridecyl Trimellitate, Polyethylene, Phenyl Trimethicone, Dimethicone Crosspolymer, Hdi/Trimethylol Hexyllactone Crosspolymer, Zeolite, Kaolin, Alumina, Silica, Silica Dimethyl Silylate, Polysilicone-11, Caprylyl Glycol, Polyhydroxystearic Acid, Flavor (Aroma), Sodium Saccharin, Tocopherol. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Bismuth Oxychloride (CI 77163), Blue 1 Lake (CI 42090), Carmine (CI 75470), Orange 5 Lake (CI 45370), Red 6 (CI 15850), Red 21 (CI 45380), Red 28 (CI 45410), Red 30 (CI 73360), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Red 22 Lake (CI 45380), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up-to-date list of ingredients.",
pimprod2002011,45,Scene Stealer Ultra Creamy Lipstick,"FeaturesA rich, creamy lipstick that creates full lips with unbelievable color pay off","Methyl Hydrogenated Rosinate, Ethylhexyl Palmitate, Polybutene, Ceresin, Polyethylene, Mineral Oil, Diisostearyl Malate, Beeswax, Bis-Diglyceryl Polyacyladipate-2, Silica,Petrolatum, Bis-Diglyceryl Polyacyladipate-1, Propylparaben, BHT, Parfum, Titanium Dioxide (CI 77891), D&C Red No. 7 (CI 15850), D&C Red No.6 (CI 15850), D&C Red No.28 (CI 45410).",
pimprod2006202,29,BADASS ICON Matte Lipstick,"BenefitsSmooth, lightweight textureMatte finishInfused with carnauba wax which restores dry damaged lipsLong-lasting hydrationFormulated without parabens, talc, fragrance or D5","Dimethicone, Octyldodecanol, Polyethylene, Polysilicone-11, Nylon-12, Caprylic/Capric Triglyceride, Bis-Peg-12 Dimethicone Beeswax, Methyl Methacrylate Crosspolymer, Dicalcium Phosphate, Stearalkonium Bentonite, Mica, Polyhydroxystearic Acid, Propylene Carbonate, Laureth-12, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tin Oxide. May Contain (+/-): Ci 77891 (Titanium Dioxide), Ci 77491 (Iron Oxides), Ci 77499 (Iron Oxides), Ci 77492 (Iron Oxides), Ci 75470 (Carmine), Ci 42090 (Blue 1 Lake), Ci 19140 (Yellow 5 Lake), Ci 15985 (Yellow 6 Lake), Ci 77742 (Manganese Violet), Ci 77163 (Bismuth Oxychloride), Ci 15850 (Red 6), Ci 15850 (Red 7 Lake), Ci 45380 (Red 22 Lake), Ci 45410 (Red 28 Lake), Ci 73360 (Red 30 Lake).",
pimprod2006734,43,SuperStay Ink Crayon Lipstick,"BenefitsDraw it on and bring it on, all day longLasting Ink technology glides across lips with no-hassle controlSmudge and transfer-resistant","Isododecane, Polyethylene, Trimethylsiloxyphenyl Dimethicone, Isohexadecane, Dimethicone, Acrylates/Dimethicone Copolymer, Polypropylsilsesquioxane, Stearyl Heptanoate, Hydrogenated Polyisobutene, Hydrogenated Styrene/Methyl Styrene/Indene Copolymer, Alumina, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Limonene, Calcium Sodium Borosilicate, Aluminum Hydroxide, Polybutylene Terephthalate, Silica, Magnesium Silicate, Silica Silylate, Ethylene/Va Copolymer, Acrylates Copolymer, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Benzyl Benzoate, Tin Oxide, Benzyl Alcohol, Citronellol, Linalool, Geraniol, Disodium Stearoyl Glutamate, Tocopherol, Parfum / Fragrance. May Contain: CI 77891 / Titanium Dioxide, CI 77491, CI 77492, CI 77499 / Iron Oxides, CI 45410 / Red 28 Lake, CI 15850 / Red 7, CI 45380 / Red 22 Lake, Mica, CI 15985 / Yellow 6 Lake, CI 19140 / Yellow 5 Lake, CI 77163 / Bismuth Oxychloride, CI 17200 / Red 33 Lake, CI 42090 / Blue 1 Lake, CI 15850 / Red 6, CI 75470 / Carmine.","Clean Ingredients, Give Back"
pimprod2009395,8,Lippie Stix,"BenefitsSuper pigmentedOne-swipe intensityMedium-to-full coverageLong-lasting, creamy formulaNon-drying feelComfy on the lipsCrème finishKey IngredientsMango seed, avocado & shea butter lock in moistureAntioxidant-rich Vitamin E nourishes lips","Caramella: Synthetic Wax, Octyldodecyl Stearoyl Stearate, Microcrystalline Wax, Paraffin, Lauryl Laurate, Tocopherol, Glycine Soja (Soybean) Oil, Glycerin, C12-16 Alcohols, Hydrogenated Lecithin, Palmitic Acid, Betaine, Momordica Grosvenori Fruit Extract, Mangifera Indica (Mango) Seed Butter, Persea Gratissima (Avocado) Oil, Hydrogenated Vegetable Oil, Butyrospermum Parkii (Shea) Butter, Flavor, Triethoxycaprylylsilane. May Contain: Bismuth Oxychloride (Ci 77163), Blue 1 Lake (Ci 42090), Carmine (Ci 75470), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Manganese Violet (Ci 77742), Mica (Ci 77019), Red 6 (Ci 15850), Red 6 Lake (Ci 15850), Red 7 Lake (Ci 15850) , Red 7 (Ci 15850), Red 27 Lake (Ci 45410), Red 28 Lake (Ci 45410), Red 28 (Ci 45410), Red 40 (Ci 16035), Red 40 Lake (Ci 16035), Titanium Dioxide (Ci 77891), Yellow 5 Lake (Ci 19140), Yellow 6 Lake (Ci 15985), Yellow 10 Lake (Ci 47005).",Cruelty Free
pimprod2012214,1,Super Lustrous Lipstick The Luscious Mattes,"BenefitsComfortable, light and creamy- no annoying draggy, drying, or heavy feelingsSmooth matte lipstick in one swipe, velvety lip color that always feels good on your lipsRevlon embossed the lipstick bullet and housed it in a luxurious black tube with gold accentsKey IngredientsMoisturizing matte lip color is infused with a botanical complex including agave, moringa oil, and capuacu butter to help your lips feel supple and look smooth","Diisopropyl Dimer Dilinoleate, Isononyl Isononanoate, Ozokerite, Aluminum Starch Octenylsuccinate, Mica, Octyldodecyl Neopentanoate, Silica, Nylon-12, Kaolin, Cera Carnauba/Copernicia Cerifera (Carnauba) Wax/Cire De Carnauba, Synthetic Wax, Cera Microcristallina/Microcrystalline Wax/Cire Microcristalline, Barium Sulfate, Moringa Oleifera Seed Oil, Theobroma Grandiflorum Seed Butter, Caprylic/Capric Triglyceride, Agave Rigida (Sisal) Extract, Hydrogenated Polyisobutene, Anemarrhena Asphodeloides Root Extract, Ethylene/Propylene Copolymer, Polyethylene, BHT, Phenoxyethanol. MAY CONTAIN/PEUT CONTENIR/PUEDE CONTENER (+/-): [Iron Oxides (CI77491,77499),Red 28 Lake (CI 45410),Red 33 Lake (CI 17200),Red 6 (CI 15850),Red 7 Lake (CI 15850),Titanium Dioxide (CI 77891),Yellow 5 Lake (CI 19140).] N01534",
pimprod2015609,6,Powder Kiss Liquid Lipcolor Longwear Lipstick,"BenefitsSmoothing, hydrating moisture-matte liquid lipstickJust the right amount of high-impact lip colorImmediate and 10-hour moistureLong-wearing, 10 hoursSmooth, stay-true lip color, 10 hoursSoft-focus and blurred lipstick color effectFade-resistant, non-settling, non-creasing, non-flaking and non-dryingKey IngredientsBlend of Vitamin E, Powders and Emollient Properties: Provide excellent cushion, flexibility, wear and moisture that will leave lips looking and feeling soft and smooth all dayResearch ResultsConsumer testing on 116 women after one week:95% said it applied smoothly onto lips94% said it left lips feeling soft and smooth upon application92% said it was colour-true throughout wear91% said it left lips feeling moisturized upon application","Ingredients: Dimethicone, Dimethicone Crosspolymer, Isononyl Isononanoate, Polyglyceryl-2 Triisostearate, Diisostearyl Malate, Tribehenin, Tocopheryl Acetate, Lecithin, Ethylhexyl Palmitate, Isopropyl Myristate, Polyglyceryl-3 Polyricinoleate, Polyglyceryl-2 Diisostearate, Sorbitan Isostearate, Dehydroacetic Acid, Isostearic Acid, Polyhydroxystearic Acid, Vanillin, [+/- Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499), Blue 1 Lake (Ci 42090), Red 6 (Ci 15850), Red 7 (Ci 15850), Red 22 Lake (Ci 45380), Red 28 Lake (Ci 45410), Red 33 Lake (Ci 17200), Yellow 5 Lake (Ci 19140), Yellow 6 Lake (Ci 15985)]",
pimprod2016381,41,Mega Last Matte Lip Color,"BenefitsFull-coverage color in one swipeHigh-pigment, long-lasting nourishing formulaCreamy, comfy, and lightweight all-day wearWon't cake, feather or bleedFeaturesLong-lastingSemi-matteInfused with Hyaluronic Acid, Natural Marine Plant Extracts, Coenzyme Q10 and Vitamins A & E deliver moisture, while Murumuru Seed Butter, Argan Oil, and Sunflower and Passionfruit Seed Oils nourish the lips.","Pentaerythrityl Tetraisostearate, Isononyl Isononanoate, Ozokerite, Kaolin, Triethylhexanoin, Hydrogenated Microcrystalline Wax, Synthetic Wax, Silica, Oleic/Linoleic/Linolenic Polyglycerides, Methyl Methacrylate Crosspolymer, HDI/Trimethylol Hexyllactone Crosspolymer, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Caprylic/Capric Triglyceride, Hydrogenated Vegetable Oil, Trimethylpentanediol/Adipic Acid/Glycerin Crosspolymer, Hydrogenated Styrene/Methyl Styrene/Indene Copolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Dipentaerythrityl Hexa C5-9 Acid Esters, Myristyl Lactate, Bis-Diglyceryl Polyacyladipate-2, Triheptanoin, Phytosteryl Macadamiate, Helianthus Annuus (Sunflower) Seed Oil, Tocopheryl Acetate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Phenoxyethanol, Sorbic Acid, Astrocaryum Murumuru Seed Butter, Passiflora Edulis Seed Oil, Phytosteryl Oleate, Tocopherol, Argania Spinosa Kernel Oil, Macadamia Integrifolia Seed Oil, Ethylhexylglycerin, Cocos Nucifera (Coconut) Oil, Glyceryl Caprylate, Tocopherol, Water/Eau, Phenoxyethanol, Glycine Soja (Soybean) Oil, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Glycine Soja (Soybean) Oil, Sodium Hyaluronate, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba (in 1111415, 1111416, 1111419), Trimethylolpropane Triisostearate (in 1111415, 1111416, 1111419), [+/- (MAY CONTAIN/PEUT CONTENIR): Blue 1 Lake/CI 42090, Iron Oxides/CI 77491, CI 77492, CI 77499, Red 28 Lake/CI 45410, Red 6/CI 15850, Red 7 Lake/CI 15850, Titanium Dioxide/CI 77891, Yellow 5 Lake/CI 19140, Yellow 6 Lake/CI 15985]. [1905-1]",
